created_at,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2024-01-01T00:00:00+00:00,27.39,37.23,7.33,53.31,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T01:00:00+00:00,34.28,45.17,8.47,64.32,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T02:00:00+00:00,34.88,44.93,6.88,64.76,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T03:00:00+00:00,26.18,39.29,7.65,55.77,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T04:00:00+00:00,31.98,46.95,8.44,57.92,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T05:00:00+00:00,26.8,37.65,10.61,61.33,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T06:00:00+00:00,30.55,43.99,9.88,69.49,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T07:00:00+00:00,30.1,38.43,8.46,60.19,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T08:00:00+00:00,35.83,51.18,8.23,71.39,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T09:00:00+00:00,34.97,47.84,9.46,64.79,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T10:00:00+00:00,33.29,47.98,7.49,65.98,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T11:00:00+00:00,32.54,46.53,7.58,50.58,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T12:00:00+00:00,27.3,36.38,6.02,49.29,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T13:00:00+00:00,32.98,43.19,6.32,56.6,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T14:00:00+00:00,29.25,42.36,3.46,56.7,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T15:00:00+00:00,33.37,46.92,1.77,41.56,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T16:00:00+00:00,30.42,40.29,3.25,50.87,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T17:00:00+00:00,31.04,43.81,3.03,47.51,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T18:00:00+00:00,28.43,35.66,2.05,41.02,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T19:00:00+00:00,30.7,41.95,2.39,40.72,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T20:00:00+00:00,30.66,43.35,1.2,49.11,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T21:00:00+00:00,31.53,40.09,2.7,51.36,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T22:00:00+00:00,35.64,44.54,4.68,48.91,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-01T23:00:00+00:00,30.57,40.44,3.8,53.63,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T00:00:00+00:00,34.41,42.67,4.55,57.03,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T01:00:00+00:00,34.09,45.07,7.51,53.15,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T02:00:00+00:00,28.4,35.4,7.47,52.73,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T03:00:00+00:00,25.9,31.95,8.69,54.23,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T04:00:00+00:00,32.44,40.22,10.26,57.03,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T05:00:00+00:00,30.89,45.43,10.76,61.49,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T06:00:00+00:00,38.52,49.73,8.78,70.9,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T07:00:00+00:00,32.57,46.3,9.78,66.06,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T08:00:00+00:00,35.13,43.69,8.97,67.29,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T09:00:00+00:00,29.84,43.14,9.31,61.44,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T10:00:00+00:00,36.33,48.75,9.41,64.86,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T11:00:00+00:00,28.91,40.92,6.85,56.35,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T12:00:00+00:00,29.08,39.92,5.55,57.74,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T13:00:00+00:00,26.34,37.79,4.73,50.72,20,40,Madrid,,40.4168,-3.7038,667,
2024-01-02T14:00:00+00:00,29.48,35.94,3.83,54.67,20,40,Madrid,,40.4168,-3.7038,667,
