created_at,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2024-01-01T00:00:00+00:00,32.59,43.31,6.02,62.83,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T01:00:00+00:00,30.59,40.97,4.81,80.21,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T02:00:00+00:00,36.04,46.51,6.07,79.73,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T03:00:00+00:00,38.47,53.43,6.72,81.06,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T04:00:00+00:00,34.59,46.32,7.21,84.93,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T05:00:00+00:00,33.72,46.14,7.77,73.69,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T06:00:00+00:00,32.71,47.94,9.6,76.09,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T07:00:00+00:00,35.95,48.53,9.37,73.79,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T08:00:00+00:00,31.98,46.5,8.77,81.59,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T09:00:00+00:00,32.11,42.52,7.35,84.15,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T10:00:00+00:00,37.7,47.64,6.1,81.25,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T11:00:00+00:00,32.31,40.61,6.5,66.21,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T12:00:00+00:00,31.91,45.44,3.64,72.21,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T13:00:00+00:00,30.65,41.23,3.28,61.33,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T14:00:00+00:00,35.01,45.72,4.28,57.63,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T15:00:00+00:00,29.32,42.8,1.59,64.03,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T16:00:00+00:00,32.2,44.89,0.1,67.0,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T17:00:00+00:00,29.81,39.46,1.38,67.56,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T18:00:00+00:00,37.8,47.55,1.94,65.8,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T19:00:00+00:00,36.04,49.13,2.12,66.39,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T20:00:00+00:00,29.61,41.2,0.53,64.69,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T21:00:00+00:00,37.97,54.14,1.01,63.46,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T22:00:00+00:00,36.76,49.62,2.38,64.09,20,40,Paris,,48.8566,2.3522,35,
2024-01-01T23:00:00+00:00,32.6,46.79,5.3,70.72,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T00:00:00+00:00,39.63,56.67,4.0,71.73,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T01:00:00+00:00,30.16,43.5,5.33,74.55,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T02:00:00+00:00,38.49,49.46,7.74,73.4,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T03:00:00+00:00,37.03,53.42,8.35,75.13,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T04:00:00+00:00,39.59,54.79,9.34,77.7,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T05:00:00+00:00,31.05,41.23,8.78,80.12,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T06:00:00+00:00,32.81,42.35,9.88,85.41,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T07:00:00+00:00,40.81,51.33,8.64,86.43,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T08:00:00+00:00,37.6,52.71,9.94,86.17,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T09:00:00+00:00,32.2,46.01,8.61,81.34,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T10:00:00+00:00,28.61,42.15,7.62,71.94,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T11:00:00+00:00,39.16,54.18,5.73,68.27,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T12:00:00+00:00,34.19,42.95,5.7,70.49,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T13:00:00+00:00,33.53,46.27,4.51,67.75,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T14:00:00+00:00,32.58,47.65,1.53,65.02,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T15:00:00+00:00,32.22,41.1,1.05,63.91,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T16:00:00+00:00,32.07,45.03,0.43,57.44,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T17:00:00+00:00,35.7,47.66,0.45,57.84,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T18:00:00+00:00,36.75,51.76,1.91,59.96,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T19:00:00+00:00,31.3,43.07,0.75,57.06,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T20:00:00+00:00,36.37,50.81,2.42,67.07,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T21:00:00+00:00,37.81,48.2,2.23,69.99,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T22:00:00+00:00,29.75,37.15,3.95,61.36,20,40,Paris,,48.8566,2.3522,35,
2024-01-02T23:00:00+00:00,35.83,46.15,2.49,73.48,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T00:00:00+00:00,33.98,43.16,4.46,68.87,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T01:00:00+00:00,31.89,43.28,6.34,65.67,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T02:00:00+00:00,34.03,47.14,5.63,71.89,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T03:00:00+00:00,31.38,45.33,7.48,70.26,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T04:00:00+00:00,29.48,42.17,7.46,72.2,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T05:00:00+00:00,34.38,47.4,7.39,87.05,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T06:00:00+00:00,36.79,50.05,8.38,72.36,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T07:00:00+00:00,29.63,37.94,8.28,72.07,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T08:00:00+00:00,36.48,52.45,7.42,84.03,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T09:00:00+00:00,35.34,44.22,7.31,84.94,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T10:00:00+00:00,39.09,50.48,6.72,70.76,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T11:00:00+00:00,38.92,55.84,4.59,71.67,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T12:00:00+00:00,32.57,40.21,4.04,76.9,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T13:00:00+00:00,30.09,43.86,4.32,68.22,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T14:00:00+00:00,39.9,54.33,2.11,67.62,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T15:00:00+00:00,36.59,52.58,3.59,67.74,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T16:00:00+00:00,30.93,40.09,2.76,60.53,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T17:00:00+00:00,27.29,38.87,2.61,52.73,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T18:00:00+00:00,38.86,49.04,1.37,62.43,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T19:00:00+00:00,30.71,43.06,1.84,53.65,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T20:00:00+00:00,33.3,44.59,0.99,62.79,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T21:00:00+00:00,32.61,47.22,0.79,66.7,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T22:00:00+00:00,29.5,38.24,4.38,64.0,20,40,Paris,,48.8566,2.3522,35,
2024-01-03T23:00:00+00:00,36.39,51.02,3.9,65.5,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T00:00:00+00:00,31.03,43.13,3.75,63.07,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T01:00:00+00:00,39.62,55.08,6.74,79.96,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T02:00:00+00:00,40.3,57.43,8.16,77.14,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T03:00:00+00:00,37.9,52.83,7.51,83.6,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T04:00:00+00:00,39.94,56.51,7.86,80.68,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T05:00:00+00:00,33.25,41.69,8.78,80.72,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T06:00:00+00:00,38.18,50.24,10.08,82.38,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T07:00:00+00:00,35.3,46.73,7.82,77.53,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T08:00:00+00:00,30.38,44.61,8.74,74.67,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T09:00:00+00:00,38.88,56.05,8.3,78.61,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T10:00:00+00:00,33.89,46.72,8.21,74.72,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T11:00:00+00:00,36.19,46.28,4.88,67.72,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T12:00:00+00:00,33.8,41.78,4.3,68.34,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T13:00:00+00:00,39.37,53.31,3.99,67.06,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T14:00:00+00:00,34.9,45.41,3.54,58.48,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T15:00:00+00:00,30.65,37.59,1.69,65.2,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T16:00:00+00:00,29.73,39.82,1.49,63.67,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T17:00:00+00:00,33.29,45.08,1.49,60.16,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T18:00:00+00:00,28.61,36.93,0.46,59.17,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T19:00:00+00:00,34.1,47.78,1.93,57.73,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T20:00:00+00:00,37.52,49.45,1.47,58.49,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T21:00:00+00:00,29.12,41.43,2.76,65.32,20,40,Paris,,48.8566,2.3522,35,
2024-01-04T22:00:00+00:00,31.83,42.38,3.84,68.67,20,40,Paris,,48.8566,2.3522,35,
