created_at,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2024-01-01T00:00:00+00:00,32.78,45.42,8.19,59.33,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T01:00:00+00:00,31.62,45.51,10.49,63.79,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T02:00:00+00:00,29.99,37.37,11.5,55.46,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T03:00:00+00:00,33.28,41.07,10.84,61.43,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T04:00:00+00:00,40.53,51.22,11.63,65.78,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T05:00:00+00:00,35.52,49.36,11.61,62.96,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T06:00:00+00:00,38.8,54.45,10.57,58.53,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T07:00:00+00:00,38.51,52.04,10.42,56.92,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T08:00:00+00:00,36.82,48.98,10.95,58.61,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T09:00:00+00:00,30.87,42.65,10.17,55.44,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T10:00:00+00:00,33.56,42.59,9.2,61.73,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T11:00:00+00:00,41.07,54.92,9.2,58.97,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T12:00:00+00:00,34.48,43.83,7.63,56.48,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T13:00:00+00:00,36.63,45.83,6.39,46.27,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T14:00:00+00:00,36.49,47.37,6.01,46.66,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T15:00:00+00:00,34.15,46.2,4.28,53.48,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T16:00:00+00:00,32.38,41.37,4.91,47.47,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T17:00:00+00:00,35.74,46.45,4.02,51.44,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T18:00:00+00:00,32.16,40.57,5.02,49.03,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T19:00:00+00:00,31.01,43.25,3.5,41.93,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T20:00:00+00:00,35.54,48.2,3.41,38.64,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T21:00:00+00:00,35.33,43.73,5.42,46.21,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T22:00:00+00:00,36.58,49.92,7.15,51.73,25,40,Rome,,41.9028,12.4964,21,
2024-01-01T23:00:00+00:00,37.57,53.9,7.4,48.36,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T00:00:00+00:00,33.09,44.37,6.58,51.62,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T01:00:00+00:00,38.8,55.54,7.69,62.79,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T02:00:00+00:00,32.27,44.63,10.49,62.79,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T03:00:00+00:00,35.64,48.13,10.4,60.73,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T04:00:00+00:00,32.67,47.28,10.83,71.29,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T05:00:00+00:00,38.72,51.91,12.45,67.22,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T06:00:00+00:00,37.16,53.9,12.14,64.89,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T07:00:00+00:00,32.39,45.72,11.31,68.9,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T08:00:00+00:00,33.69,45.9,11.52,57.55,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T09:00:00+00:00,34.94,48.87,9.97,69.35,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T10:00:00+00:00,36.58,50.13,9.9,63.54,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T11:00:00+00:00,33.45,46.81,10.04,61.49,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T12:00:00+00:00,41.64,54.37,8.21,56.46,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T13:00:00+00:00,40.65,54.69,5.69,58.99,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T14:00:00+00:00,34.93,48.11,7.4,57.26,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T15:00:00+00:00,34.62,46.21,4.83,49.69,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T16:00:00+00:00,32.31,43.06,5.04,43.73,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T17:00:00+00:00,38.61,56.01,4.69,49.39,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T18:00:00+00:00,37.92,48.65,5.35,50.5,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T19:00:00+00:00,33.54,43.25,2.76,42.23,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T20:00:00+00:00,31.18,41.5,4.55,40.04,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T21:00:00+00:00,35.68,49.43,6.32,43.34,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T22:00:00+00:00,31.36,45.53,5.03,47.91,25,40,Rome,,41.9028,12.4964,21,
2024-01-02T23:00:00+00:00,35.15,44.88,6.82,55.93,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T00:00:00+00:00,36.13,44.82,6.91,62.23,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T01:00:00+00:00,37.99,53.66,8.14,64.46,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T02:00:00+00:00,39.33,49.64,11.34,65.78,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T03:00:00+00:00,40.27,58.15,11.97,67.38,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T04:00:00+00:00,36.68,49.51,12.08,65.54,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T05:00:00+00:00,33.73,45.72,12.25,67.77,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T06:00:00+00:00,35.16,49.74,11.55,68.26,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T07:00:00+00:00,33.68,47.06,12.95,60.47,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T08:00:00+00:00,41.32,51.84,11.78,62.55,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T09:00:00+00:00,36.56,47.64,9.82,64.19,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T10:00:00+00:00,29.98,37.14,8.99,52.31,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T11:00:00+00:00,40.0,50.47,8.94,64.56,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T12:00:00+00:00,38.8,56.03,8.55,55.35,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T13:00:00+00:00,30.58,37.77,5.69,50.53,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T14:00:00+00:00,39.16,50.64,4.85,43.1,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T15:00:00+00:00,30.23,40.34,4.96,45.33,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T16:00:00+00:00,33.8,42.32,4.34,47.92,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T17:00:00+00:00,36.58,51.76,3.89,38.04,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T18:00:00+00:00,28.42,39.07,4.72,38.89,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T19:00:00+00:00,31.73,40.47,4.69,52.1,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T20:00:00+00:00,31.06,44.41,3.68,42.52,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T21:00:00+00:00,34.86,48.29,4.75,41.94,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T22:00:00+00:00,34.51,48.02,4.96,45.61,25,40,Rome,,41.9028,12.4964,21,
2024-01-03T23:00:00+00:00,34.43,46.27,7.85,50.85,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T00:00:00+00:00,34.83,44.1,6.93,48.99,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T01:00:00+00:00,38.25,51.23,9.53,50.9,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T02:00:00+00:00,37.89,47.21,9.34,56.52,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T03:00:00+00:00,42.16,54.83,11.0,68.4,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T04:00:00+00:00,36.62,49.29,12.71,57.8,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T05:00:00+00:00,32.23,46.59,13.16,67.64,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T06:00:00+00:00,30.72,45.21,12.22,58.51,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T07:00:00+00:00,42.29,57.56,10.87,68.28,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T08:00:00+00:00,29.84,38.07,12.45,56.0,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T09:00:00+00:00,34.26,43.94,10.94,65.79,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T10:00:00+00:00,38.13,49.65,9.01,62.29,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T11:00:00+00:00,36.13,46.72,8.84,60.09,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T12:00:00+00:00,34.83,44.48,9.25,59.6,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T13:00:00+00:00,32.53,41.42,5.76,52.98,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T14:00:00+00:00,39.25,55.44,6.64,54.82,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T15:00:00+00:00,30.73,43.9,5.05,50.07,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T16:00:00+00:00,38.72,48.89,3.58,42.67,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T17:00:00+00:00,39.05,49.6,3.31,49.11,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T18:00:00+00:00,39.33,56.83,4.73,50.23,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T19:00:00+00:00,40.38,52.85,3.78,48.35,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T20:00:00+00:00,34.98,45.3,4.25,41.03,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T21:00:00+00:00,33.82,49.34,5.6,40.79,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T22:00:00+00:00,37.94,47.43,6.46,54.02,25,40,Rome,,41.9028,12.4964,21,
2024-01-04T23:00:00+00:00,31.17,40.05,5.56,48.14,25,40,Rome,,41.9028,12.4964,21,
2024-01-05T00:00:00+00:00,31.2,39.3,7.14,57.23,25,40,Rome,,41.9028,12.4964,21,
2024-01-05T01:00:00+00:00,33.71,46.49,9.12,57.33,25,40,Rome,,41.9028,12.4964,21,
2024-01-05T02:00:00+00:00,39.14,49.59,10.61,65.87,25,40,Rome,,41.9028,12.4964,21,
2024-01-05T03:00:00+00:00,42.6,60.03,10.86,66.19,25,40,Rome,,41.9028,12.4964,21,
2024-01-05T04:00:00+00:00,35.04,46.42,11.8,57.84,25,40,Rome,,41.9028,12.4964,21,
2024-01-05T05:00:00+00:00,36.12,49.67,12.39,66.91,25,40,Rome,,41.9028,12.4964,21,
